CL,D,E,I_A,I_S,K_stock,R,S,T,V,X_0_mayer,X_vac,action,loss,opt_policy,t_index_interval,time
1.0000000000000129,0.0019748893464772844,0.0009135373367956244,0.0008649087238124047,0.00020577153837204976,0.0037795353074480944,0.3292892382042475,0.666751654850308,-68.75615255585576,0.0,3.9436194215964457,0.0,4.640607721805885e-5,1.6926728070891306e-6,0.0,1.0,48.256513026052104
1.0000000000000127,0.0019751995413367592,0.0009158743493014559,0.0008667685402483754,0.00020617121161904992,0.0037812279802551837,0.32877033801363686,0.6672656483438703,-70.45360280856428,0.0,3.987478528765763,0.0,4.640607721805885e-5,0.0,0.0,1.0,48.41683366733467
1.0000000000000129,0.001975510341682151,0.0009182260376904249,0.0008686418589937962,0.00020657364822066816,0.0037812279802551837,0.3282523445930733,0.6677787035203525,-70.26346947196083,0.0,4.031761610855092,0.0,4.640607721805885e-5,0.0,0.0,1.0,48.57715430861724
1.0000000000000127,0.001975821751691861,0.0009205924627616528,0.0008705287199892949,0.00020697886199932622,0.003780342667017765,0.3277352568168282,0.6682908213867425,-69.34955221256901,0.0,4.076468811887795,0.0,4.640607721805885e-5,8.85313237418779e-7,0.0,1.0,48.737474949899806
1.0000000000000129,0.001976133775565126,0.0009229736858182732,0.0008724291637339295,0.00020738686680353192,0.003779457447519433,0.3272190735622006,0.6688020029458913,-68.69871622913512,0.0,4.121601480583418,0.0,4.640607721805885e-5,1.770532735750896e-6,0.0,1.0,48.89779559118236
1.0000000000000127,0.00197644641752206,0.0009253697686687326,0.0008743432312842498,0.00020779767650928012,0.0037812279802551837,0.3267037937095261,0.6693122491965023,-70.05030802358128,0.0,4.167162285846521,0.0,4.640607721805885e-5,0.0,0.0,1.0,49.058116232464926
1.0000000000000129,0.001976759681803698,0.0009277807736281223,0.000876270964253416,0.0002082113050214393,0.0037812279802551837,0.3261894161421863,0.6698215611331199,-70.50218217641,0.0,4.213157834284638,0.0,4.640607721805885e-5,0.0,0.0,1.0,49.21843687374749
1.0000000000000129,0.00197707357267204,0.0009302067635195358,0.000878212404810372,0.0002086277662751241,0.0037812279802551837,0.3256759397466174,0.6703299397461184,-71.97238265009972,0.0,4.259588199206369,0.0,4.640607721805885e-5,0.0,0.0,1.0,49.37875751503006
1.0000000000000129,0.0019773880944101013,0.0009326478016754569,0.0008801675956790727,0.00020904707423705438,0.0037812279802551837,0.32516336341231994,0.6708373860216913,-70.2371610184382,0.0,4.30645608309286,0.0,4.640607721805885e-5,0.0,0.0,1.0,49.53907815631262
1.0000000000000129,0.0019777032513219593,0.0009351039519391734,0.0008821365801377659,0.00020946924290690048,0.0037811754542731923,0.3246516860318672,0.6713439009418399,-69.96141292730621,0.0,4.353764199847058,0.0,4.640607721805885e-5,5.2525981991247963e-8,0.0,1.0,49.69939879759519
